dubo,50.259,-95.866,245.695,0.011,0.0332,0.0259,0.1349,4368,0.0102,0.0349,0.0274,0.15,4380,0.0039,0.034,0.0256,0.1722,4332,0.006,0.0333,0.0257,0.1407,4356,0.0078,0.0339,0.0262,0.1722,17436
dund,-45.884,170.597,389.288,-0.0083,0.0356,0.0282,0.1577,4320,-0.0086,0.0348,0.0269,0.1605,4380,-0.006,0.0335,0.0265,0.1159,4320,-0.0119,0.0356,0.0272,0.1357,4368,-0.0087,0.0349,0.0272,0.1605,17388
ebre,40.821,0.492,107.745,-0.0085,0.0376,0.0301,0.1338,4332,-0.0226,0.0462,0.0382,0.1421,3972,-0.023,0.0445,0.0369,0.1295,3960,-0.0272,0.0449,0.0367,0.1313,4068,-0.0201,0.0433,0.0354,0.1421,16332
escu,47.073,-64.799,-15.592,0.0043,0.0442,0.0348,0.1793,4380,0.0007,0.048,0.0373,0.19,3984,-0.0038,0.0464,0.0354,0.1904,4332,-0.0051,0.0443,0.0337,0.1905,4368,-0.001,0.0457,0.0353,0.1905,17064
faa1,-17.555,-149.614,12.543,-0.0212,0.0482,0.0391,0.1427,4236,-0.0144,0.0453,0.0364,0.1462,4296,0.0023,0.0448,0.036,0.1449,4284,-0.0008,0.0417,0.0336,0.1575,4356,-0.0085,0.045,0.0363,0.1575,17172
fair,64.978,-147.499,319.623,-0.007,0.0308,0.0234,0.1325,4308,0.0017,0.0284,0.0229,0.0996,4356,0.004,0.0275,0.0219,0.0969,4308,-0.0021,0.0288,0.0225,0.1005,4368,-0.0008,0.0289,0.0227,0.1325,17340
falk,-51.694,-57.874,51.275,-0.0052,0.035,0.0283,0.1183,4152,-0.0118,0.0368,0.0289,0.1383,4344,-0.0151,0.0361,0.0288,0.139,4320,-0.0079,0.0334,0.0264,0.1245,4368,-0.01,0.0353,0.0281,0.139,17184
ffmj,50.091,8.665,178.696,-0.0128,0.0361,0.029,0.1328,4296,-0.0168,0.0404,0.0316,0.1491,4332,-0.0145,0.036,0.0277,0.146,4320,-0.0175,0.0386,0.0306,0.1459,4356,-0.0154,0.0378,0.0297,0.1491,17304
frdn,45.933,-66.66,96.379,0.0085,0.0469,0.0372,0.172,4344,0.003,0.049,0.0387,0.167,4380,0.001,0.0481,0.0375,0.1768,4320,0.0009,0.0463,0.036,0.1869,4332,0.0034,0.0476,0.0374,0.1869,17376
ftna,-14.308,-178.121,85.262,-0.0398,0.0683,0.0576,0.2036,3888,-0.039,0.0682,0.058,0.1719,4176,-0.025,0.0567,0.0456,0.2056,3852,-0.0217,0.0566,0.0467,0.1743,3720,-0.0316,0.0629,0.0522,0.2056,15636
